PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ci001,6k1/pppp1ppp/8/8/8/8/8/4R2K b - - 0 1,a7a6 e1e8,600,80,95,1000,mate mateIn1 backRankMate,https://example.com,
ci002,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 0 3,c6d4 f3f7,700,80,95,1000,mate mateIn1 scholarsMate,https://example.com,
ci003,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,g2g4 d8h4,500,80,95,1000,mate mateIn1 foolsMate,https://example.com,
ci004,6rk/pppp2pp/8/6N1/8/8/PPPP4/6K1 b - - 0 1,a7a6 g5f7,900,80,95,1000,mate mateIn1 smotheredMate,https://example.com,
ci005,6k1/1ppp1ppp/8/8/8/8/8/R6K b - - 0 1,d7d6 a1a8,600,80,95,1000,mate mateIn1 backRankMate,https://example.com,
ci006,5rk1/5pp1/7p/6N1/8/3B3Q/8/7K b - - 0 1,h6g5 h3h7,1100,80,95,1000,mate mateIn1,https://example.com,
ci007,3rkr2/p7/8/8/8/8/Q7/4K3 b - - 0 1,a7a6 a2e6,1000,80,95,1000,mate mateIn1 epauletteMate,https://example.com,
ci008,kr6/pp4pp/8/3N4/8/8/8/6K1 b - - 0 1,h7h6 d5c7,900,80,95,1000,mate mateIn1 smotheredMate,https://example.com,
ci009,8/8/8/8/8/1K6/7R/1k6 b - - 0 1,b1a1 h2h1,700,80,95,1000,mate mateIn1 rookEndgame,https://example.com,
ci010,6k1/p4ppp/8/8/8/8/8/3Q3K b - - 0 1,a7a6 d1d8,600,80,95,1000,mate mateIn1 backRankMate,https://example.com,
ci011,7k/p6p/5P2/8/8/8/8/6QK b - - 0 1,a7a6 g1g7,800,80,95,1000,mate mateIn1,https://example.com,
ci012,r1b2k1r/ppp1bppp/8/1B1Q1q2/8/2P5/PPP2PPP/R3R1K1 b - - 0 1,f5f4 d5d8 e7d8 e1e8,1400,80,95,1000,mate mateIn2 backRankMate,https://example.com,
ci013,1k6/8/8/8/8/8/7R/6R1 b - - 0 1,b8a8 g1g7 a8b8 h2h8,1000,80,95,1000,mate mateIn2 ladderMate,https://example.com,
ci014,r3k3/8/8/3N4/8/8/8/4K3 b - - 0 1,e8d7 d5c7 d7d6 c7a8,1200,80,95,1000,fork crushing,https://example.com,
